date,name,grade,setter,mygrade,attempts,ticked,comment,grade_v,mygrade_v
2022-09-29,ATTREZZO DI TORTURA,6C+,Lorenzo Locatelli,6C+,1,True,,5.5,5.5
2022-09-29,MOON CASTLE,6C,Ben Moon,6C,1,False,,5.0,5.0
2022-09-29,TESS,6C+,Ben Moon,6C+,2,False,,5.5,5.5
2022-09-29,SOFT THE PUZZLE,6C+,PJMOONCLIMBS,6C+,4,False,,5.5,5.5
2022-09-29,GRIFETE HANDS,6C,edu moya,6C,2,False,,5.0,5.0
2022-09-22,PLEDGE TO HEDGE,6B+,Hoseok Lee,6B+,1,True,,4.0,4.0
2022-09-22,JUST ANOTHER DAY,6C,Reuben Mardan,6B+,1,True,,5.0,4.0
2022-09-22,MOON CASTLE,6C,Ben Moon,6C,3,False,,5.0,5.0
2022-09-22,COBIA,6C+,Bryant Noble,6C+,2,True,,5.5,5.5
2022-09-18,JUST ANOTHER DAY,6C,Reuben Mardan,6C,1,True,,5.0,5.0
2022-09-18,PLEDGE TO HEDGE,6B+,Hoseok Lee,6B+,1,True,,4.0,4.0
2022-09-18,DSTYLE,6B+,hamad_climbs,6B+,2,True,,4.0,4.0
2022-09-18,FIRST SET: PINCH 'N' INCH,6C,Melissa Clements,6C,1,True,,5.0,5.0
2022-09-18,MOON CASTLE,6C,Ben Moon,6C,2,False,,5.0,5.0
2022-09-18,VORTEX ORIGINAL,6C,Yasu Toma,6C,2,True,,5.0,5.0
2022-09-10,PLEDGE TO HEDGE,6B+,Hoseok Lee,6B+,1,True,,4.0,4.0
2022-09-10,PLEDGE TO HEDGE,6B+,Hoseok Lee,6B+,1,True,,4.0,4.0
2022-09-10,TESS WIDE,6C,Ben Moon,6C,1,True,,5.0,5.0
2022-09-10,JUST ANOTHER DAY,6C,Reuben Mardan,6C,1,False,,5.0,5.0
2022-09-10,MOON CASTLE,6C,Ben Moon,6C,3,False,,5.0,5.0
2022-09-08,PLEDGE TO HEDGE,6B+,Hoseok Lee,6B+,1,True,,4.0,4.0
2022-09-08,TESS WIDE,6C,Ben Moon,6B+,1,True,,5.0,4.0
2022-09-08,DSTYLE,6B+,hamad_climbs,6B+,1,False,,4.0,4.0
2022-09-08,FIRST SET: PINCH 'N' INCH,6C,Melissa Clements,6C,3,False,,5.0,5.0
2022-09-08,TESS,6C+,Ben Moon,6C+,2,False,,5.5,5.5
2022-09-06,ATTREZZO DI TORTURA,6C+,Lorenzo Locatelli,6C+,2,True,,5.5,5.5
2022-09-06,FULL MOON PARTY,6C,Kyle Knapp,6C,1,True,,5.0,5.0
2022-09-06,PLEDGE TO HEDGE,6B+,Hoseok Lee,6B+,1,True,,4.0,4.0
2022-09-06,TESS WIDE,6C,Ben Moon,6C,1,False,,5.0,5.0
2022-09-06,FIRST SET: PINCH 'N' INCH,6C,Melissa Clements,6C,3,False,,5.0,5.0
2022-09-01,FULL MOON PARTY,6C,Kyle Knapp,6C,1,True,,5.0,5.0
2022-09-01,TESS WIDE,6C,Ben Moon,6C,1,True,,5.0,5.0
2022-09-01,FIRST SET: PINCH 'N' INCH,6C,Melissa Clements,6C,2,True,,5.0,5.0
2022-09-01,ATTREZZO DI TORTURA,6C+,Lorenzo Locatelli,6C+,3,False,,5.5,5.5
2022-09-01,#2 KH,6C+,Kyle Hilton,6C+,2,True,,5.5,5.5
2022-09-01,紙一重 -KAMI HITOE-,6C+,seishirou shirai,6C+,3,True,,5.5,5.5
2022-09-01,紙一重 -KAMI HITOE-,6C+,seishirou shirai,6C+,3,True,,5.5,5.5
2022-08-30,DSTYLE,6B+,hamad_climbs,6B+,1,True,,4.0,4.0
2022-08-30,PULL YASELF UP! YAY,6B+,Hoseok Lee,6B+,1,False,,4.0,4.0
2022-08-30,JUST ANOTHER DAY,6C,Reuben Mardan,6C+,1,True,,5.0,5.5
2022-08-30,FULL MOON PARTY,6C,Kyle Knapp,6C,1,True,,5.0,5.0
2022-08-30,FIRST SET: PINCH 'N' INCH,6C,Melissa Clements,6C,3,False,,5.0,5.0
2022-08-26,PULL YASELF UP! YAY,6B+,Hoseok Lee,6B+,1,True,,4.0,4.0
2022-08-26,PULL YASELF UP! YAY,6B+,Hoseok Lee,6B+,1,True,,4.0,4.0
2022-08-26,ACG30,6C,bkkim,6C,2,False,,5.0,5.0
2022-08-26,JUST ANOTHER DAY,6C,Reuben Mardan,6C,1,True,,5.0,5.0
2022-08-23,KLINGON EASY,6B+,Ben Moon,6B+,1,True,,4.0,4.0
2022-08-23,WUTHERING HEIGHTS,6B+,Ben Moon,6B+,1,True,,4.0,4.0
2022-08-23,DUPLICATE TEST,6B+,Richard Chew,6B+,1,True,,4.0,4.0
2022-08-21,BANANARAMA,6C,Blake Lehmans,6B+,1,True,,5.0,4.0
2022-08-21,超絶技巧,6C,Takuto Koshiba,6C,2,True,,5.0,5.0
2022-08-21,TESS WIDE,6C,Ben Moon,6C,2,True,,5.0,5.0
2022-08-21,PLEDGE TO HEDGE,6B+,Hoseok Lee,6B+,1,True,,4.0,4.0
2022-08-21,ACG30,6C,bkkim,6C,3,True,,5.0,5.0
2022-08-21,BIGGY SMALLS,6C,Alex Arroyo,6C,1,True,,5.0,5.0
2022-08-21,FIRST SET: PINCH 'N' INCH,6C,Melissa Clements,6C,2,False,,5.0,5.0
2022-08-21,HOCUS POCUS,6C+,Ben Moon,6C+,3,False,,5.5,5.5
2022-08-21,JUST ANOTHER DAY,6C,Reuben Mardan,6C,1,False,,5.0,5.0
2022-08-15,EASY-PEASY LEMON SQUEEZY,6B+,Movement Crew,6B+,1,True,,4.0,4.0
2022-08-15,KLINGON EASY,6B+,Ben Moon,6B+,1,True,,4.0,4.0
2022-08-15,RISCALDAMENTO TIA 6A,6B+,Federico Camboni,6B+,2,True,,4.0,4.0
2022-08-15,PULL YASELF UP! YAY,6B+,Hoseok Lee,6B+,2,True,,4.0,4.0
2022-08-15,PULL YASELF UP! YAY,6B+,Hoseok Lee,6B+,2,True,,4.0,4.0
2022-08-15,超絶技巧,6C,Takuto Koshiba,6B+,1,True,,5.0,4.0
2022-08-15,FULL MOON PARTY,6C,Kyle Knapp,6C,1,True,,5.0,5.0
2022-08-07,BITTER,6B+,Riccardo Caprasecca,6B+,2,True,,4.0,4.0
2022-08-07,WUTHERING HEIGHTS,6B+,Ben Moon,6B+,1,True,,4.0,4.0
2022-08-07,FLASH GORDON,6B+,Kyle Knapp,6B+,1,True,,4.0,4.0
2022-08-07,AN EASY PROBLEM,6B+,Brett Duffield,6B+,1,True,,4.0,4.0
2022-08-06,SALUHALLEN 6,6B+,Joakim Aagaerd,6B+,3,True,,4.0,4.0
2022-08-06,RISCALDAMENTO TIA 6A,6B+,Federico Camboni,6B+,1,True,,4.0,4.0
2022-08-06,LE UOVA SODE,6C,Ale Alekos,6C,3,True,,5.0,5.0
2022-08-06,FULL MOON PARTY,6C,Kyle Knapp,6C,3,False,,5.0,5.0
2022-08-04,AN EASY PROBLEM,6B+,Brett Duffield,6B+,1,True,,4.0,4.0
2022-08-04,WUTHERING HEIGHTS,6B+,Ben Moon,6B+,1,True,,4.0,4.0
2022-08-04,WUTHERING HEIGHTS,6B+,Ben Moon,6B+,1,True,,4.0,4.0
2022-08-04,SALUHALLEN 6,6B+,Joakim Aagaerd,6B+,1,True,,4.0,4.0
2022-08-04,PLEDGE TO HEDGE,6B+,Hoseok Lee,6B+,3,True,,4.0,4.0
2022-08-04,EASY-PEASY LEMON SQUEEZY,6B+,Movement Crew,6B+,1,True,,4.0,4.0
2022-08-04,EASY-PEASY LEMON SQUEEZY,6B+,Movement Crew,6B+,1,True,,4.0,4.0
2022-08-04,LE UOVA SODE,6C,Ale Alekos,6C,3,False,,5.0,5.0
2022-08-04,FULL MOON PARTY,6C,Kyle Knapp,6C,3,False,,5.0,5.0
2022-08-04,BANANARAMA,6C,Blake Lehmans,6B+,1,True,,5.0,4.0
2022-08-04,TESS WIDE,6C,Ben Moon,6C,2,True,,5.0,5.0
2022-08-01,CAKEWALK,6B+,Kyle Knapp,6B+,4,True,,4.0,4.0
2022-08-01,FAR FROM THE MADDING CROWD,6B+,Ben Moon,6B+,5,True,,4.0,4.0
2022-08-01,PULL YASELF UP! YAY,6B+,Hoseok Lee,6B+,4,True,,4.0,4.0
2022-08-01,ATAUALPA,6C,Ale Alekos,6C,4,True,,5.0,5.0
2022-07-27,DROP DEAD TENRYU,6C,Shiro Hosojima,6C,2,True,,5.0,5.0
2022-07-17,AN EASY PROBLEM,6B+,Brett Duffield,6B+,1,True,,4.0,4.0
2022-07-17,WUTHERING HEIGHTS,6B+,Ben Moon,6B+,1,True,,4.0,4.0
2022-07-17,BITTER,6B+,Riccardo Caprasecca,6B+,2,True,,4.0,4.0
2022-07-17,KLINGON EASY,6B+,Ben Moon,6B+,1,True,,4.0,4.0
2022-07-17,FLASH GORDON,6B+,Kyle Knapp,6B+,1,True,,4.0,4.0
