date,text,img_path
30 Nov 23,"DOUBLE CROSS
Kyle Knapp
6C
Feet follow hands
Project
40° MoonBoard
2",./images/DOUBLE_CROSS.png
30 Nov 23,"MAFFEI
Riccardo Caprasecca
6C. You graded this problem 6C+.
Feet follow hands
Project
40° MoonBoard
2",./images/MAFFEI.png
28 Nov 23,"WARMING UP
Chad Jensen
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/WARMING_UP.png
28 Nov 23,"1K
Bryant Noble
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/1K.png
28 Nov 23,"GORILLA BEGINS(6A/V3)
Jay Choi
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/GORILLA_BEGINS(6A/V3).png
28 Nov 23,"LOW CARB VAR
Ben Moon
6C. You graded this problem 6C.
Feet follow hands
Project
40° MoonBoard
5",./images/LOW_CARB_VAR.png
28 Nov 23,"SALTEDBLOCKS 2
Martin Blizi
6C. You graded this problem 6C.
Feet follow hands
Project
40° MoonBoard
4",./images/SALTEDBLOCKS_2.png
26 Nov 23,"UP AND OVER
Alex Smurthwaite
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/UP_AND_OVER.png
26 Nov 23,"FIRST STEP
Riccardo Caprasecca
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/FIRST_STEP.png
26 Nov 23,"1
Hugo Hoyer
6B+. You graded this problem 6B+.
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/1.png
26 Nov 23,"SURESHOT
Danny Hupp
6C. You graded this problem 6C.
Feet follow hands
Project
40° MoonBoard
3",./images/SURESHOT.png
26 Nov 23,"WAITING FOR HARDTIMES
James Lucas
6C
Feet follow hands
Project
40° MoonBoard
2",./images/WAITING_FOR_HARDTIMES.png
23 Nov 23,"EASY-PEASY LEMON SQUEEZY
Movement Crew
6B+
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/EASY-PEASY_LEMON_SQUEEZY.png
