date,ename,ereps,kg,duration
2023-12-16,HB: IMR 20mm,1,62.0,10.0
2023-12-16,HB: IMR 20mm,1,62.0,10.0
2023-12-14,HB: IMR 20mm,1,87.0,10.0
2023-12-14,HB: IMR 20mm,1,87.0,10.0
2023-12-13,weighted pull up,1,103.0,10.302
2023-12-13,HB: SC 20mm,1,103.0,10.0
2023-12-13,weighted pull up,1,103.0,13.025
2023-12-13,HB: SC 20mm,1,103.0,10.0
2023-12-13,HB: SC 20mm,1,103.0,10.0
2023-12-13,weighted pull up,4,103.0,57.503
2023-12-13,HB: IMR 20mm,1,62.0,10.0
2023-12-13,HB: IMR 20mm,1,87.0,10.0
2023-12-13,HB: IMR 20mm,1,62.0,10.0
2023-12-13,HB: IMR 20mm,1,62.0,10.0
2023-12-13,HB: IMR 20mm,1,62.0,10.0
2023-12-13,HB: IMR 20mm,1,62.0,10.0
2023-12-13,HB: IMR 20mm,1,62.0,10.0
2023-12-13,HB: IMR 20mm,1,62.0,10.0
2023-12-13,HB: IMR 20mm,1,62.0,10.0
2023-12-12,benchpress,5,60.0,52.901
2023-12-12,benchpress,5,60.0,41.106
2023-12-12,HB: SC 20mm,1,106.0,10.0
2023-12-12,HB: SC 20mm,1,106.0,10.0
2023-12-12,HB: IMR 20mm,1,87.0,10.0
2023-12-12,HB: SC 20mm,1,106.0,10.0
2023-12-12,HB: SC 20mm,1,106.0,10.0
2023-12-12,HB: IMR 20mm,1,87.0,10.0
2023-12-12,HB: IMR 20mm,1,87.0,10.0
2023-12-12,benchpress,5,60.0,114.349
2023-12-12,deadlift,3,135.0,31.661
2023-12-12,HB: IMR 20mm,1,87.0,10.0
2023-12-11,HB: IMR 20mm,1,62.0,10.0
2023-12-11,HB: IMR 20mm,1,62.0,10.0
2023-12-11,HB: IMR 20mm,1,62.0,10.0
2023-12-11,HB: IMR 20mm,1,62.0,10.0
2023-12-11,HB: IMR 20mm,1,62.0,10.0
2023-12-11,HB: IMR 20mm,1,62.0,10.0
2023-12-11,HB: IMR 20mm,1,62.0,10.0
2023-12-11,HB: IMR 20mm,1,62.0,10.0
2023-12-11,deadlift,2,110.0,15.554
2023-12-11,deadlift,3,135.0,27.49
2023-12-11,deadlift,3,135.0,54.218
2023-12-10,HB: IMR 20mm,1,62.0,10.0
2023-12-10,HB: IMR 20mm,1,62.0,10.0
2023-12-10,HB: IMR 20mm,1,62.0,10.0
2023-12-10,HB: IMR 20mm,1,62.0,10.0
2023-12-10,HB: IMR 20mm,1,62.0,10.0
2023-12-10,HB: IMR 20mm,1,62.0,10.0
2023-12-10,HB: IMR 20mm,1,62.0,10.0
2023-12-09,HB: IMR 20mm,1,62.0,10.0
2023-12-09,HB: IMR 20mm,1,62.0,10.0
2023-12-09,HB: IMR 20mm,1,62.0,10.0
2023-12-09,HB: IMR 20mm,1,62.0,10.0
2023-12-09,HB: IMR 20mm,1,62.0,10.0
2023-12-08,HB: IMR 20mm,1,62.0,10.0
2023-12-08,HB: IMR 20mm,4,62.0,10.0
2023-12-08,HB: IMR 20mm,1,62.0,10.0
2023-12-08,HB: IMR 20mm,1,62.0,10.0
2023-12-08,HB: IMR 20mm,1,62.0,10.0
2023-12-08,HB: IMR 20mm,1,62.0,10.0
2023-12-08,HB: IMR 20mm,1,62.0,10.0
2023-12-08,HB: IMR 20mm,1,62.0,10.0
2023-12-05,benchpress,2,60.0,73.2
2023-12-05,HB: SC 20mm,10,105.0,30.0
2023-12-05,benchpress,5,40.0,92.9
2023-12-05,HB: SC 20mm,1,97.5,10.0
2023-12-05,benchpress,3,50.0,57.0
2023-12-05,benchpress,3,65.0,30.0
2023-12-05,benchpress,3,65.0,30.0
2023-12-05,benchpress,3,65.0,30.0
2023-12-05,HB: SC 20mm,10,97.5,30.0
2023-12-05,HB: SC 20mm,1,103.0,10.0
2023-12-05,HB: SC 20mm,10,102.5,30.0
2023-12-05,HB: IMR 20mm,10,86.0,30.0
2023-12-05,HB: SC 20mm,1,103.0,10.0
2023-12-05,HB: IMR 20mm,10,88.0,30.0
2023-12-05,HB: IMR 20mm,1,88.0,10.0
2023-12-05,benchpress,3,65.0,78.1
2023-12-05,HB: IMR 20mm,1,86.0,10.0
2023-12-05,benchpress,3,65.0,45.5
2023-12-05,HB: IMR 20mm,1,86.0,10.0
2023-12-05,benchpress,3,65.0,62.8
2023-12-05,HB: IMR 20mm,10,87.0,30.0
2023-12-02,deadlift,2,110.0,10.8
2023-12-02,deadlift,4,130.0,20.8
2023-12-02,deadlift,4,130.0,30.2
