,date,ename,enum,reps,kg,rpe
129,30-11-23,benchpress,3,4,60.0,8
130,30-11-23,benchpress,4,4,60.0,8
131,02-12-23,deadlift,1,4,130.0,8
132,02-12-23,deadlift,2,4,130.0,8
133,02-12-23,deadlift,3,4,130.0,8
134,02-12-23,deadlift,4,4,130.0,8
135,05-12-23,benchpress,1,3,65.0,8
136,05-12-23,benchpress,2,3,65.0,9
137,05-12-23,benchpress,3,3,65.0,9
138,05-12-23,HB: SC 20mm,1,10,97.5,7
139,05-12-23,HB: SC 20mm,2,10,102.5,8
140,05-12-23,HB: SC 20mm,3,10,105.0,8
141,05-12-23,HB: IMR 20mm,1,10,86.0,7
142,05-12-23,HB: IMR 20mm,2,10,87.0,7
143,05-12-23,HB: IMR 20mm,3,10,88.0,7
